country,year,iso_code,population,gdp,fossil_share_energy,coal_share_energy,renewables_share_energy,low_carbon_share_energy,energy_per_capita,energy_per_gdp,co2,co2_per_capita,coal_co2,gas_co2,oil_co2,share_global_co2,temperature_change_from_co2
Algeria,1990,DZA,25375815.0,117843179781.0,99.881,2.433,0.119,0.119,12412.359,2.673,75.892,2.991,2.942,38.908,23.204,0.334,0.001
Algeria,1991,DZA,25987937.0,121105141795.0,99.739,2.534,0.261,0.261,12009.229,2.577,77.976,3.0,2.689,38.428,26.066,0.336,0.001
Algeria,1992,DZA,26628570.0,127982696018.0,99.827,2.935,0.173,0.173,12025.688,2.502,79.284,2.977,2.378,31.932,28.678,0.352,0.001
Algeria,1993,DZA,27277042.0,130275774703.0,99.671,2.569,0.329,0.329,10924.754,2.287,81.306,2.981,1.924,36.098,27.993,0.357,0.001
Algeria,1994,DZA,27887277.0,134279859768.0,99.847,2.388,0.153,0.153,10826.482,2.248,87.848,3.15,2.286,37.386,30.45,0.382,0.001
Algeria,1995,DZA,28470194.0,145054664533.0,99.829,2.303,0.171,0.171,10999.042,2.159,95.906,3.369,1.935,47.222,27.081,0.408,0.001
Algeria,1996,DZA,29033045.0,156579113896.0,99.879,1.096,0.121,0.121,10674.896,1.979,99.56,3.429,1.407,50.567,27.407,0.411,0.001
Algeria,1997,DZA,29579299.0,164644463404.0,99.93,1.999,0.07,0.07,10069.873,1.809,87.517,2.959,1.381,39.007,30.019,0.359,0.001
Algeria,1998,DZA,30054135.0,179962887740.0,99.806,2.067,0.194,0.194,10259.786,1.713,105.74,3.518,2.11,54.641,33.09,0.435,0.001
Algeria,1999,DZA,30474360.0,193179776879.0,99.819,2.192,0.181,0.181,10219.548,1.612,90.613,2.973,2.173,50.92,22.188,0.365,0.001
Algeria,2000,DZA,30903894.0,208554150552.0,99.95,1.881,0.05,0.05,9705.756,1.438,84.552,2.736,1.96,38.534,26.828,0.331,0.001
Algeria,2001,DZA,31331226.0,223420294027.0,99.939,2.095,0.061,0.061,9920.229,1.391,86.019,2.745,2.096,41.029,28.458,0.335,0.001
Algeria,2002,DZA,31750832.0,245360923720.0,99.951,2.655,0.049,0.049,10139.907,1.312,89.658,2.824,2.609,44.653,29.495,0.341,0.001
Algeria,2003,DZA,32175813.0,273568638765.0,99.786,2.092,0.214,0.214,10471.285,1.232,94.078,2.924,2.788,44.027,31.943,0.34,0.001
Algeria,2004,DZA,32628286.0,296773569597.0,99.806,2.404,0.194,0.194,10720.079,1.179,90.853,2.784,1.924,41.209,32.818,0.318,0.001
Algeria,2005,DZA,33109258.0,326854481030.0,99.592,1.887,0.408,0.408,11062.512,1.121,109.564,3.309,2.363,61.211,31.052,0.37,0.001
Algeria,2006,DZA,33623505.0,345705309468.0,99.847,2.705,0.153,0.153,11278.422,1.097,103.798,3.087,2.7,49.306,35.233,0.339,0.001
Algeria,2007,DZA,34189420.0,371665260161.0,99.85,2.203,0.15,0.15,11688.989,1.075,107.549,3.146,3.012,51.076,38.322,0.341,0.001
Algeria,2008,DZA,34816963.0,395658515586.0,99.824,2.079,0.176,0.176,12165.246,1.071,108.596,3.119,3.008,51.551,37.363,0.339,0.001
Algeria,2009,DZA,35490442.0,418247711085.0,99.8,1.259,0.2,0.2,12647.33,1.073,116.328,3.278,1.594,54.894,44.891,0.369,0.002
Algeria,2010,DZA,36188237.0,450705801593.0,99.892,0.821,0.108,0.108,12130.873,0.974,117.847,3.257,1.216,53.368,45.365,0.354,0.002
Algeria,2011,DZA,36903374.0,482028679734.0,99.779,0.689,0.221,0.221,12586.607,0.964,124.715,3.38,1.121,56.721,46.92,0.362,0.002
Algeria,2012,DZA,37646165.0,498417638719.0,99.789,0.669,0.211,0.211,13485.354,1.019,135.593,3.602,1.107,64.116,48.541,0.388,0.002
Algeria,2013,DZA,38414176.0,512373332647.0,99.939,0.342,0.061,0.061,13978.61,1.048,141.534,3.684,0.777,65.45,52.018,0.401,0.002
Algeria,2014,DZA,39205035.0,531843509827.0,99.89,0.356,0.11,0.11,14937.195,1.101,152.435,3.888,0.579,73.833,53.582,0.43,0.002
Algeria,2015,DZA,40019528.0,551521739825.0,99.909,0.25,0.091,0.091,15430.422,1.12,160.322,4.006,0.535,78.769,55.59,0.453,0.002
Algeria,2016,DZA,40850719.0,569170418715.0,99.863,0.092,0.137,0.137,15103.672,1.084,158.308,3.875,0.0,78.679,54.628,0.447,0.002
Algeria,2017,DZA,41689302.0,577138830559.0,99.768,0.339,0.232,0.232,14962.943,1.081,165.252,3.964,0.923,82.354,55.324,0.459,0.002
Algeria,2018,DZA,42505033.0,584064441740.0,99.729,0.869,0.271,0.271,15753.894,1.146,174.461,4.104,1.546,88.889,56.231,0.475,0.002
Algeria,2019,DZA,43294551.0,589905104177.0,99.723,0.692,0.277,0.277,16037.789,1.177,182.425,4.214,1.275,91.998,59.637,0.492,0.002
Algeria,2020,DZA,44042094.0,559819958223.0,99.717,0.235,0.283,0.283,14733.604,1.159,171.139,3.886,0.575,87.026,54.13,0.487,0.002
